,property_price
452143,89000.0
1471,89000.0
315239,129000.0
190018,80000.0
53648,116000.0
243492,89000.0
381513,340000.0
390172,75000.0
34669,224000.0
182309,127500.0
185414,87000.0
16798,137000.0
114740,115000.0
218572,58000.0
35322,89000.0
456094,105000.0
398531,430000.0
206689,110000.0
181701,212120.0
398936,95000.0
96774,75000.0
351807,450000.0
216088,630000.0
118767,700000.0
147299,270000.0
114787,149900.0
58401,305000.0
84094,500000.0
111410,95000.0
227912,92000.0
170538,180000.0
72275,890000.0
42631,160000.0
233629,85900.0
23214,89000.0
135300,128000.0
334384,245000.0
426236,370000.0
405285,225000.0
147265,48000.0
393742,149000.0
188863,160000.0
312373,75000.0
154869,129000.0
139513,99000.0
274823,220000.0
162350,90000.0
285661,250000.0
229166,165000.0
293166,165000.0
304998,239000.0
94528,520000.0
257154,550000.0
18340,87000.0
149937,132000.0
65633,239500.0
182484,100000.0
373944,570000.0
399912,799000.0
59796,245000.0
367616,130000.0
157116,79000.0
307984,70000.0
113807,290000.0
94242,188000.0
133138,230000.0
398017,160000.0
178474,155000.0
64404,80000.0
2857,110000.0
237334,159000.0
284155,78500.0
256783,125000.0
280989,72000.0
134177,135000.0
7919,430000.0
53810,240000.0
117754,143000.0
74429,75000.0
130451,215000.0
224119,120000.0
262172,469200.0
12370,55000.0
365485,290000.0
246862,64000.0
427937,99900.0
303926,96000.0
425912,105000.0
349069,122000.0
295595,175000.0
389049,210000.0
390000,135000.0
212501,255000.0
147750,490000.0
331745,73000.0
141110,158000.0
274841,258000.0
251107,141000.0
316354,1350000.0
200722,80000.0
334871,80000.0
342024,320400.0
422271,95000.0
65413,105000.0
323071,155000.0
135138,179900.0
325094,169500.0
210370,279000.0
33033,229000.0
384299,270000.0
430836,246900.0
160683,118000.0
100764,250000.0
85718,135000.0
260197,220000.0
105425,69900.0
75429,160000.0
116612,110000.0
163042,90000.0
66701,125000.0
377527,185000.0
285680,195000.0
123643,270000.0
214430,78000.0
436492,196750.0
285714,740000.0
317582,270000.0
447663,199000.0
16704,390000.0
20611,220000.0
12189,99000.0
72718,80000.0
126469,90000.0
434240,75000.0
313611,180000.0
117822,141000.0
26720,172000.0
441088,650000.0
366577,580000.0
390168,62000.0
450225,95000.0
449001,115000.0
184605,195000.0
128788,119000.0
257181,90000.0
313337,1600000.0
6218,107500.0
41926,111211.0
241514,360000.0
400525,269000.0
360410,149900.0
310556,85000.0
76871,135000.0
203142,445000.0
131399,119000.0
76535,149000.0
219759,42000.0
93105,90000.0
133605,259000.0
429762,64000.0
241341,300000.0
142455,65000.0
97760,105000.0
337782,120000.0
233775,87700.0
277361,159000.0
337885,169000.0
76654,189000.0
312305,185000.0
212650,550000.0
372675,480000.0
207255,160000.0
377917,770000.0
184232,79000.0
51142,209000.0
295941,360000.0
90255,355000.0
176508,130000.0
415226,71100.0
147945,85000.0
306793,170000.0
166110,460000.0
14469,205000.0
105454,59900.0
273561,66000.0
455226,86300.0
264381,53400.0
82402,125000.0
299943,60000.0
39827,54900.0
327681,315000.0
370279,73000.0
341420,111395.0
55541,185000.0
340432,124900.0
276001,169000.0
212635,90000.0
195321,225000.0
113991,64700.0
271967,180000.0
254265,99900.0
441033,205000.0
270092,97500.0
51835,100000.0
165327,175000.0
182153,136000.0
81902,2100000.0
183889,85000.0
2698,67000.0
270251,110000.0
240364,80000.0
185075,206000.0
312377,198000.0
291817,118000.0
79177,220000.0
288946,249000.0
319520,165000.0
210828,198000.0
174347,126000.0
172390,98000.0
434660,111000.0
6625,95000.0
257404,170000.0
304078,165000.0
275728,89000.0
92706,59000.0
57955,38000.0
92760,44000.0
228887,234500.0
425636,244000.0
139227,190775.0
13866,150000.0
437696,105000.0
279066,160000.0
28023,65000.0
301388,210000.0
46269,147000.0
327405,90000.0
344022,780000.0
227897,270000.0
33302,72000.0
284462,147000.0
206436,250000.0
308762,75000.0
22733,78000.0
307236,358000.0
124938,105000.0
182351,144900.0
268904,186000.0
110561,58000.0
389103,94000.0
95263,390000.0
456143,88000.0
233193,150900.0
330218,175000.0
284991,348000.0
351234,145000.0
422137,77100.0
55402,82000.0
122174,218000.0
206518,250000.0
302994,85200.0
187871,105000.0
215634,560000.0
427049,79500.0
18559,147000.0
358780,62000.0
409712,133000.0
187949,75854.0
198846,120000.0
194343,695000.0
426155,89000.0
99390,61500.0
168539,590000.0
108101,550000.0
281883,102500.0
387642,240000.0
42680,119000.0
347810,150000.0
440798,65900.0
408452,220000.0
412617,320000.0
390022,175000.0
297449,280000.0
70966,270000.0
452270,459000.0
76815,92700.0
7729,87000.0
188277,115000.0
231128,78000.0
223728,137000.0
265079,83000.0
382304,325000.0
71563,234000.0
16739,85000.0
47031,230000.0
7472,320000.0
114765,67500.0
318880,120000.0
143600,121577.0
377450,105000.0
103805,1050000.0
353993,76700.0
324590,1400000.0
41681,700000.0
447584,209800.0
25731,139500.0
452886,113000.0
430732,34980.0
92394,70000.0
422099,212750.0
353169,68000.0
422728,98000.0
229222,95000.0
342587,165000.0
356917,130000.0
297981,159000.0
433845,173500.0
91826,169000.0
306730,980000.0
291612,166068.0
289703,105000.0
262127,595000.0
266544,179000.0
336530,180000.0
305029,240000.0
117857,99000.0
337552,128000.0
29078,200000.0
50799,190000.0
99308,134000.0
117902,223400.0
207504,68999.0
220473,120000.0
432011,89800.0
452672,95950.0
391107,490000.0
223734,585000.0
430649,200000.0
160170,120000.0
217178,61900.0
115213,320000.0
157482,41500.0
352560,100000.0
123529,358000.0
399082,103110.0
160012,445000.0
249792,62000.0
418354,123000.0
169930,870000.0
227858,89000.0
116178,735000.0
224171,100000.0
436256,92000.0
221115,115000.0
372913,166900.0
290477,125000.0
68115,389000.0
409983,190000.0
10298,147900.0
392458,120000.0
157313,795000.0
123258,140000.0
414853,98000.0
259172,58500.0
94308,63000.0
2792,65000.0
300806,92000.0
81425,245000.0
283367,85000.0
378545,150000.0
401960,172000.0
449577,136000.0
339897,179900.0
268221,64000.0
15915,126000.0
319130,138000.0
73870,68000.0
283154,113900.0
381826,75000.0
451709,60000.0
186227,127000.0
321795,65000.0
106525,150000.0
30045,154000.0
260102,63000.0
450347,160000.0
129282,2800000.0
89563,97000.0
28012,120000.0
387320,73000.0
387690,170000.0
258385,280000.0
185523,142000.0
9364,125000.0
318861,105000.0
435792,100000.0
370470,80000.0
238163,480000.0
66455,99000.0
38321,440000.0
235332,190000.0
9866,399999.0
346243,130000.0
452647,43300.0
347264,1290000.0
96459,150000.0
188934,74500.0
193463,186000.0
36931,120000.0
188173,139000.0
430651,385000.0
287180,64999.0
214072,94900.0
92052,630000.0
454970,105000.0
254021,44500.0
59953,69000.0
336482,35000.0
233179,240000.0
308758,68000.0
252539,80000.0
170329,95000.0
129294,219000.0
70742,100000.0
76957,186000.0
36909,90000.0
214143,129000.0
355901,180000.0
338119,219000.0
389052,430000.0
425630,113500.0
118254,363000.0
115528,120000.0
45261,128000.0
436434,82000.0
7508,95000.0
336126,189000.0
167260,125000.0
260609,335400.0
220701,278000.0
350039,175000.0
277174,66000.0
135373,74000.0
379830,200000.0
353708,620000.0
223906,155000.0
184109,145824.0
439602,130000.0
23180,55000.0
436661,135000.0
123767,540000.0
454899,82000.0
397300,87000.0
157967,139000.0
231589,159000.0
220967,199000.0
251450,240000.0
264616,46900.0
53725,270000.0
176340,165640.0
378544,169000.0
355817,345000.0
18737,540000.0
430824,99900.0
106906,540000.0
355677,110000.0
131388,129000.0
143477,290000.0
306084,143000.0
76482,147500.0
298298,190000.0
265658,220000.0
397992,230000.0
125306,140400.0
398762,149900.0
398183,105000.0
307230,64900.0
262663,130000.0
248223,470000.0
104112,89000.0
378466,58000.0
326360,104900.0
397351,134900.0
215583,61129.0
129161,130000.0
238097,83600.0
376649,170000.0
58342,124000.0
341978,78000.0
304454,65000.0
50926,265900.0
312601,67510.0
54159,107850.0
46778,229000.0
220961,149500.0
46276,890000.0
226228,146000.0
304416,380000.0
397251,549000.0
24515,335000.0
92758,80000.0
160400,53900.0
39361,120000.0
151792,115000.0
151914,134000.0
178398,119700.0
459310,420000.0
50580,55000.0
247157,118000.0
273577,1350000.0
233713,193400.0
231885,310000.0
90041,125000.0
91897,142000.0
381823,165000.0
283197,55000.0
135956,199000.0
93513,160000.0
135970,201590.0
214165,132000.0
124707,258000.0
166425,420000.0
139129,620000.0
139181,205000.0
356818,115000.0
421424,260000.0
188105,75000.0
293662,120000.0
337584,280000.0
255847,139000.0
171559,355000.0
117806,70000.0
398153,215000.0
101093,70000.0
109273,282000.0
452598,105000.0
329632,109000.0
272000,149000.0
12434,595000.0
320919,480000.0
358192,66900.0
10486,410000.0
378232,99000.0
87129,115000.0
35517,120000.0
204739,120000.0
353077,135000.0
194627,159000.0
255892,245000.0
447162,140000.0
373051,89000.0
425547,95000.0
202813,265000.0
363750,550000.0
72353,532000.0
406907,160000.0
66880,89999.0
241462,117000.0
439027,2400000.0
295750,187000.0
252710,299000.0
257384,110000.0
381514,165000.0
10969,93000.0
279181,160000.0
117966,149500.0
165045,220000.0
345608,495000.0
399310,92000.0
135893,150000.0
452302,1490000.0
414667,548000.0
378959,280000.0
94513,59900.0
377463,115000.0
329995,198000.0
84978,80900.0
263882,255000.0
84145,136000.0
115278,75000.0
139396,42000.0
384499,89000.0
356945,104160.0
66459,65000.0
215617,118000.0
452759,109900.0
386004,75000.0
62999,150000.0
428825,119999.0
139185,395000.0
453301,440000.0
127516,169500.0
302892,1290000.0
9423,480000.0
174581,65000.0
411698,126000.0
324395,145000.0
128044,259000.0
184239,55000.0
7483,137001.0
126787,270000.0
120685,420000.0
46364,212000.0
200773,360000.0
96712,95000.0
385348,63000.0
111390,129900.0
74831,125000.0
113467,177000.0
339876,220000.0
316626,415000.0
148050,72000.0
325905,239000.0
266239,89500.0
47671,88000.0
9954,137094.0
356014,133000.0
289296,69000.0
173848,310000.0
120286,57000.0
352875,189000.0
415954,90000.0
260397,780000.0
131771,163000.0
264913,85000.0
13818,118000.0
436048,195000.0
63761,1380000.0
334609,68900.0
76677,420000.0
176047,163000.0
300674,85000.0
50929,356500.0
219588,240000.0
106567,54840.0
253043,79900.0
100998,419900.0
58619,109900.0
117884,139000.0
397583,165000.0
375786,99900.0
31141,260000.0
398761,180000.0
23379,110000.0
442006,140000.0
79299,115000.0
256714,385000.0
168578,74999.0
347493,75000.0
177847,281000.0
24604,230000.0
64999,340000.0
222873,150000.0
181741,260000.0
374115,325000.0
339587,320000.0
359007,310000.0
196608,120000.0
85259,99000.0
332547,120000.0
5076,160500.0
300018,760000.0
199853,115000.0
447495,339500.0
176325,120000.0
446708,69000.0
404534,110000.0
336118,283000.0
105573,230000.0
236862,79000.0
235306,98000.0
44137,165000.0
388587,380000.0
377900,93000.0
385564,240000.0
321651,88000.0
238226,149000.0
264498,44000.0
287452,134000.0
36970,94900.0
230807,94000.0
371866,308000.0
92158,150000.0
428558,84000.0
234406,240000.0
298312,320000.0
426075,130000.0
56213,265000.0
258447,129000.0
49462,75000.0
362671,100000.0
19863,165000.0
39680,150000.0
219954,79900.0
431263,54000.0
452803,230000.0
230547,70000.0
242513,109000.0
336379,64800.0
14694,135000.0
15377,238800.0
94753,53900.0
386727,68000.0
16701,189900.0
308114,170000.0
367446,75000.0
298236,100000.0
94725,995000.0
44360,96500.0
358605,472000.0
69887,47250.0
256285,127000.0
162239,780000.0
272415,215000.0
67560,110000.0
26274,79500.0
398923,160000.0
107689,47000.0
2376,105000.0
268131,199000.0
248731,179000.0
459428,670000.0
41988,250000.0
51059,169000.0
133207,220000.0
95090,78000.0
209326,60000.0
343976,76000.0
264587,45000.0
66793,96300.0
65366,125000.0
440645,90000.0
205111,109000.0
257933,155000.0
334013,355000.0
392769,78900.0
130577,1200000.0
355411,202000.0
379680,230000.0
37369,95000.0
360011,294000.0
440570,91000.0
362264,150000.0
31463,145000.0
262232,155000.0
399676,42800.0
96498,124000.0
182764,135000.0
329859,350000.0
174299,490000.0
459616,92000.0
432126,269000.0
302922,76083.0
407164,350000.0
422273,590000.0
289412,89000.0
428375,63000.0
